ntasks,freq,task,segment,mc,mb,fc,fb,bs,br
16,125,1,6,500,9876000,500,9876000,0,4938000
16,125,6,6,500,9298000,500,9298000,0,4649000
16,125,14,6,500,9876000,500,9876000,0,4938000
16,125,13,6,500,9298000,500,9298000,0,4649000
16,125,5,6,500,9876000,500,9876000,0,4938000
16,125,3,6,500,9876000,500,9876000,0,4938000
16,125,11,6,500,9298000,500,9298000,0,4649000
16,125,15,6,500,9298000,500,9298000,0,4649000
16,125,7,6,500,9876000,500,9876000,0,4938000
16,125,0,7,250,72047000,250,72047000,72047000,0
16,125,8,7,500,9876000,500,9876000,0,4938000
16,125,12,7,500,9876000,500,9876000,0,4938000
16,125,4,7,500,9298000,500,9298000,0,4649000
16,125,2,7,500,9298000,500,9298000,0,4649000
16,125,10,7,500,9876000,500,9876000,0,4938000
16,125,9,7,500,9298000,500,9298000,0,4649000
16,125,1,7,500,9876000,500,9876000,0,4938000
16,125,6,7,500,9298000,500,9298000,0,4649000
16,125,14,7,500,9876000,500,9876000,0,4938000
16,125,5,7,500,9876000,500,9876000,0,4938000
16,125,13,7,500,9298000,500,9298000,0,4649000
16,125,3,7,500,9876000,500,9876000,0,4938000
16,125,11,7,500,9298000,500,9298000,0,4649000
16,125,7,7,500,9876000,500,9876000,0,4938000
16,125,15,7,500,9298000,500,9298000,0,4649000
16,125,8,7,500,9876000,500,9876000,0,4938000
16,125,0,8,250,72047000,250,72047000,72047000,0
16,125,12,8,500,9876000,500,9876000,0,4938000
16,125,2,8,500,9298000,500,9298000,0,4649000
16,125,4,8,500,9298000,500,9298000,0,4649000
16,125,10,8,500,9876000,500,9876000,0,4938000
16,125,1,8,500,9876000,500,9876000,0,4938000
16,125,9,8,500,9298000,500,9298000,0,4649000
16,125,6,8,500,9298000,500,9298000,0,4649000
16,125,14,8,500,9876000,500,9876000,0,4938000
16,125,13,8,500,9298000,500,9298000,0,4649000
16,125,5,8,500,9876000,500,9876000,0,4938000
16,125,3,8,500,9876000,500,9876000,0,4938000
16,125,11,8,500,9298000,500,9298000,0,4649000
16,125,15,8,500,9298000,500,9298000,0,4649000
16,125,7,8,500,9876000,500,9876000,0,4938000
