algorithm,ntasks,prog_n,switches_mean,switches_median,count,data_alloc_count_mean,data_alloc_count_median,data_alloc_count_std,data_alloc_bytes_mean,data_alloc_bytes_median,data_alloc_bytes_std,msg_sent_count_mean,msg_sent_count_median,msg_sent_count_std,msg_sent_bytes_mean,msg_sent_bytes_median,msg_sent_bytes_std,recv_count_mean,recv_count_median,recv_count_std,recv_bytes_mean,recv_bytes_median,recv_bytes_std,reduce_count_mean,reduce_count_median,reduce_count_std,reduce_bytes_mean,reduce_bytes_median,reduce_bytes_std
gilbert,16,1000,48060.0,48060.0,16,37638.1875,36013.0,10177.125522259876,1462500000.0,1300000000.0,350000000.0,192006.0,180000.0,46499.03805456625,2026666666.6666667,1600000000.0,1652472894.3818312,191255.625,192006.0,3001.5,2012500000.0,2000000000.0,166833250.0832293,102024.0,102024.0,0.0,1700000000.0,1700000000.0,0.0
hilbert,16,1000,48060.0,48060.0,16,35638.1875,36013.0,6974.392486984081,1437500000.0,1300000000.0,298607881.119482,191255.625,180000.0,45022.5,2000000000.0,1600000000.0,1600000000.0,191255.625,192006.0,3001.5,2012500000.0,2000000000.0,150000000.0,102024.0,102024.0,0.0,1700000000.0,1700000000.0,0.0
rcb,16,1000,48060.0,48060.0,16,20888.1875,22013.0,4499.25,1343750000.0,1300000000.0,109354164.68216167,191255.625,180000.0,45022.5,1993750000.0,1600000000.0,1574999999.9999998,191255.625,192006.0,3001.5,2012500000.0,2000000000.0,131021626.71355698,102024.0,102024.0,0.0,1700000000.0,1700000000.0,0.0
rcbincr,16,1000,48060.0,48060.0,16,20888.1875,22013.0,4499.25,1343750000.0,1300000000.0,109354164.68216167,191255.625,180000.0,45022.5,1993750000.0,1600000000.0,1574999999.9999998,191255.625,192006.0,3001.5,2012500000.0,2000000000.0,131021626.71355698,102024.0,102024.0,0.0,1700000000.0,1700000000.0,0.0
gilbert,32,100,48096.0,48096.0,32,44756.84375,42013.0,11987.800648749262,1362500000.0,1200000000.0,467491590.4021956,383512.0625,372000.0,65122.05967354687,2050000000.0,1700000000.0,1979898987.322333,383512.0625,384006.0,2205.3955820639294,2025000000.0,2000000000.0,139121668.72805047,198060.0,198060.0,0.0,1700000000.0,1700000000.0,0.0
hilbert,32,100,48096.0,48096.0,32,41769.34375,39513.0,11040.849402250964,1362500000.0,1200000000.0,393290502.49763054,383518.3125,372000.0,65157.4150126062,2050000000.0,1700000000.0,1979898987.322333,383518.3125,384006.0,2195.9874322088813,2025000000.0,2000000000.0,110716143.88213235,198060.0,198060.0,0.0,1700000000.0,1700000000.0,0.0
rcb,32,100,48096.0,48096.0,32,21450.59375,22013.0,3181.450185253574,1259375000.0,1200000000.0,113192314.22671771,383630.8125,372000.0,65793.81111567409,2043750000.0,1700000000.0,1944543648.2630055,383630.8125,384006.0,2122.3810037314224,2021875000.0,2000000000.0,87008991.0074185,198060.0,198060.0,0.0,1700000000.0,1700000000.0,0.0
rcbincr,32,100,48096.0,48096.0,32,21450.59375,22013.0,3181.450185253574,1259375000.0,1200000000.0,113192314.22671771,383630.8125,372000.0,65793.81111567409,2043750000.0,1700000000.0,1944543648.2630055,383630.8125,384006.0,2122.3810037314224,2021875000.0,2000000000.0,87008991.0074185,198060.0,198060.0,0.0,1700000000.0,1700000000.0,0.0
gilbert,32,250,48072.0,48072.0,32,42809.96875,40013.0,10728.01865927864,1350000000.0,1200000000.0,445044397.93017536,383521.4375,372000.0,65175.092682135866,2050000000.0,1700000000.0,1979898987.322333,383521.4375,384006.0,2191.482116499125,2025000000.0,2000000000.0,139121668.72805047,198036.0,198036.0,0.0,1700000000.0,1700000000.0,0.0
hilbert,32,250,48072.0,48072.0,32,39872.46875,38513.0,10533.367932384775,1350000000.0,1200000000.0,386881660.6597406,383893.0967741936,372000.0,66217.96038304352,2061290322.580645,1700000000.0,2011579382.699879,383521.4375,384006.0,2191.482116499125,2021875000.0,2000000000.0,115659051.2196614,198036.0,198036.0,0.0,1700000000.0,1700000000.0,0.0
